,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
1499817,2017-06-27 17:24:41,2017-06-27 17:42:29,1068,Racine Ave (May St) & Fulton St,Wells St & Elm St,Subscriber,Male,1985
236346,2017-02-21 17:42:05,2017-02-21 17:50:49,524,Clark St & Congress Pkwy,Michigan Ave & 18th St,Subscriber,Male,1978
1472215,2017-06-26 07:52:27,2017-06-26 07:57:44,317,Damen Ave & Augusta Blvd,Damen Ave & Grand Ave,Subscriber,Female,1992
436316,2017-04-01 15:31:28,2017-04-01 15:41:14,586,California Ave & North Ave,Wood St & Milwaukee Ave,Subscriber,Male,1989
351986,2017-03-17 06:18:10,2017-03-17 06:25:06,416,Clinton St & Madison St,State St & Van Buren St,Subscriber,Male,1960
688473,2017-04-28 07:45:34,2017-04-28 07:52:27,413,Canal St & Madison St,Michigan Ave & Washington St,Subscriber,Male,1992
511427,2017-04-11 17:35:01,2017-04-11 17:47:48,767,Wells St & Concord Ln,Lake Shore Dr & Diversey Pkwy,Subscriber,Female,1989
197665,2017-02-18 11:22:14,2017-02-18 11:51:40,1766,Lake Shore Dr & Ohio St,Clark St & Lincoln Ave,Subscriber,Male,1953
499816,2017-04-10 07:39:21,2017-04-10 07:52:32,791,Loomis St & Jackson Blvd,Wabash Ave & 8th St,Subscriber,Male,1961
572941,2017-04-17 13:23:27,2017-04-17 13:35:03,696,Franklin St & Lake St,Sedgwick St & North Ave,Subscriber,Male,1968
469944,2017-04-07 16:09:14,2017-04-07 16:20:06,652,Canal St & Monroe St (*),Wabash Ave & Wacker Pl,Subscriber,Female,1982
259208,2017-02-24 18:02:49,2017-02-24 18:11:52,543,Canal St & Madison St,Orleans St & Elm St (*),Subscriber,Male,1981
306624,2017-03-06 17:47:17,2017-03-06 18:03:08,951,Clinton St & Washington Blvd,Clinton St & 18th St,Subscriber,Male,1982
1063719,2017-06-02 07:12:57,2017-06-02 07:20:09,432,Clinton St & Washington Blvd,Rush St & Hubbard St,Subscriber,Male,1982
541420,2017-04-15 10:20:46,2017-04-15 10:56:40,2154,Lakefront Trail & Bryn Mawr Ave,Montrose Harbor,Customer,,
636455,2017-04-23 15:03:27,2017-04-23 15:17:14,827,Wells St & Polk St,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1983
804329,2017-05-12 17:28:52,2017-05-12 17:37:13,501,Wabash Ave & Roosevelt Rd,Michigan Ave & Jackson Blvd,Subscriber,Female,1991
1365147,2017-06-20 07:30:55,2017-06-20 07:40:13,558,Troy St & North Ave,Damen Ave & Pierce Ave,Subscriber,Female,1986
428458,2017-03-31 12:19:26,2017-03-31 12:36:56,1050,McCormick Place,Daley Center Plaza,Subscriber,Male,1985
698770,2017-04-30 02:27:21,2017-04-30 02:32:02,281,Paulina Ave & North Ave,Damen Ave & Pierce Ave,Subscriber,Male,1991
326052,2017-03-09 15:01:06,2017-03-09 15:11:02,596,Wabash Ave & 8th St,Wabash Ave & 16th St,Subscriber,Male,1966
490655,2017-04-09 13:37:08,2017-04-09 15:00:30,5002,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,Customer,,
517983,2017-04-12 12:46:55,2017-04-12 12:57:32,637,Clark St & Lincoln Ave,Bissell St & Armitage Ave,Subscriber,Female,1994
310985,2017-03-07 11:32:43,2017-03-07 11:37:09,266,Wabash Ave & Adams St,Franklin St & Monroe St,Subscriber,Male,1969
1210336,2017-06-10 13:36:00,2017-06-10 14:03:08,1628,Oakley Ave & Roscoe St,Lake Shore Dr & Belmont Ave,Customer,,
676591,2017-04-26 17:07:09,2017-04-26 17:09:39,150,Halsted St & Archer Ave,Emerald Ave & 28th St,Subscriber,Female,1964
296895,2017-03-05 10:20:47,2017-03-05 10:36:20,933,Marshfield Ave & Cortland St,Troy St & North Ave,Subscriber,Male,1982
